play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens,sentiment_score
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,To sound the depth of that thou wilt profess:,,,,"['sound', 'depth', 'wilt', 'profess']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"Having commenc?d, be a divine in shew,",,,,"['commenc', '\x99d', 'divine', 'shew']",0.5574
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"Yet level at the end of every art,",,,,"['Yet', 'level', 'end', 'every']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,And live and die in Aristotle?s works.,,,,"['live', 'die', 'Aristotle', '\x99s', 'works']",-0.5994
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"Sweet Analytics, ?tis thou hast ravish?d me!",,,,"['Sweet', 'Analytics', '\x99tis', 'ravish', '\x99d']",0.565
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,Bene disserere est finis logices.,,,,"['Bene', 'disserere', 'est', 'finis', 'logices']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,"Is, to dispute well, logic?s chiefest end?",,,,"['dispute', 'well', 'logic', '\x99s', 'chiefest', 'end']",-0.2406
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,Affords this art no greater miracle?,,,,"['Affords', 'greater', 'miracle']",-0.6348
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,Then read no more; thou hast attain?d that end:,,,,"['read', 'attain', '\x99d', 'end']",-0.296
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,A greater subject fitteth Faustus??wit:,,,,"['greater', 'subject', 'fitteth', 'Faustus', 'wit']",0.4329
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,"Bid Economy farewell, and Galen come,",,,,"['Bid', 'Economy', 'farewell', 'Galen', 'come']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,"Seeing, Ubi desinit philosophus, ibi incipit medicus:",,,,"['Seeing', 'Ubi', 'desinit', 'philosophus', 'ibi', 'incipit', 'medicus']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,"Be a physician, Faustus; heap up gold,",,,,"['physician', 'Faustus', 'heap', 'gold']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,15,And be eterniz?d for some wondrous cure:,,,,"['eterniz', '\x99d', 'wondrous', 'cure']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,16,"Summum bonum medicinae sanitas,",,,,"['Summum', 'bonum', 'medicinae', 'sanitas']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,17,The end of physic is our body?s health.,,,,"['end', 'physic', 'body', '\x99s', 'health']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,18,"Why, Faustus, hast thou not attain?d that end?",,,,"['Faustus', 'attain', '\x99d', 'end']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,19,Is not thy common talk found aphorisms?,,,,"['common', 'talk', 'found', 'aphorisms']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,20,"Are not thy bills hung up as monuments,",,,,"['bills', 'hung', 'monuments']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,21,"Whereby whole cities have escap?d the plague,",,,,"['Whereby', 'whole', 'cities', 'escap', '\x99d', 'plague']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,22,And thousand desperate maladies been eas?d?,,,,"['thousand', 'desperate', 'maladies', 'eas', '\x99d']",-0.3939
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,23,"Yet art thou still but Faustus, and a man.",,,,"['Yet', 'still', 'Faustus', 'man']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,24,"Couldst thou make men to live eternally,",,,,"['make', 'men', 'live', 'eternally']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,25,"Or, being dead, raise them to life again,",,,,"['dead', 'raise', 'life']",-0.6486
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,26,Then this profession were to be esteem?d.,,,,"['profession', 'esteem', '\x99d']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,27,"Physic, farewell!  Where is Justinian?",,,,"['Physic', 'farewell', 'Justinian']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,28,"Si una eademque res legatur duobus, alter rem,",,,,"['Si', 'una', 'eademque', 'res', 'legatur', 'duobus', 'alter', 'rem']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,29,"alter valorem rei,c.",,,,"['alter', 'valorem', 'rei', 'c']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,30,A pretty case of paltry legacies!,,,,"['pretty', 'case', 'paltry', 'legacies']",0.5411
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,31,"Exhoereditare filium non potest pater, nisi,",,,,"['Exhoereditare', 'filium', 'non', 'potest', 'pater', 'nisi']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,32,"Such is the subject of the institute,",,,,"['subject', 'institute']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,33,And universal body of the law:,,,,"['universal', 'body', 'law']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,34,"This study fits a mercenary drudge,",,,,"['study', 'fits', 'mercenary', 'drudge']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,35,Who aims at nothing but external trash;,,,,"['aims', 'nothing', 'external', 'trash']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,36,Too servile and illiberal for me.,,,,"['servile', 'illiberal']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,37,"When all is done, divinity is best:",,,,"['done', 'divinity', 'best']",0.836
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,38,"Jerome?s Bible, Faustus; view it well.",,,,"['Jerome', '\x99s', 'Bible', 'Faustus', 'view', 'well']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,39,Stipendium peccati mors est.,,,,"['Stipendium', 'peccati', 'mors', 'est']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,40,The reward of sin is death:  that?s hard.,,,,"['reward', 'sin', 'death', '\x99s', 'hard']",-0.6369
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,41,"Si peccasse negamus, fallimur, et nulla est in nobis veritas;",,,,"['Si', 'peccasse', 'negamus', 'fallimur', 'et', 'nulla', 'est', 'nobis', 'veritas']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,42,"If we say that we have no sin, we deceive ourselves, and",,,,"['say', 'sin', 'deceive']",0.0577
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,43,"there?s no truth in us.  Why, then, belike we must sin, and so",,,,"['\x99s', 'truth', 'belike', 'must', 'sin']",-0.6769
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,44,consequently die:,,,,"['consequently', 'die']",-0.5994
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,45,"Ay, we must die an everlasting death.",,,,"['Ay', 'must', 'die', 'everlasting', 'death']",-0.8316
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,46,"What doctrine call you this, Che sera, sera,",,,,"['doctrine', 'call', 'Che', 'sera', 'sera']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,47,"What will be, shall be?  Divinity, adieu!",,,,"['shall', 'Divinity', 'adieu']",0.6114
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,48,"These metaphysics of magicians,",,,,"['metaphysics', 'magicians']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,49,And necromantic books are heavenly;,,,,"['necromantic', 'books', 'heavenly']",0.6124
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,50,"Lines, circles, scenes, letters, and characters;",,,,"['Lines', 'circles', 'scenes', 'letters', 'characters']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,51,"Ay, these are those that Faustus most desires.",,,,"['Ay', 'Faustus', 'desires']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,52,"O, what a world of profit and delight,",,,,"['world', 'profit', 'delight']",0.7783
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,53,"Of power, of honour, of omnipotence,",,,,"['power', 'honour', 'omnipotence']",0.5719
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,54,Is promis?d to the studious artizan!,,,,"['promis', '\x99d', 'studious', 'artizan']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,55,All things that move between the quiet poles,,,,"['things', 'move', 'quiet', 'poles']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,56,Shall be at my command:  emperors and kings,,,,"['Shall', 'command', 'emperors', 'kings']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,57,"Are but obeyed in their several provinces,",,,,"['obeyed', 'several', 'provinces']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,58,"Nor can they raise the wind, or rend the clouds;",,,,"['raise', 'wind', 'rend', 'clouds']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,59,"But his dominion that exceeds in this,",,,,"['dominion', 'exceeds']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,60,Stretcheth as far as doth the mind of man;,,,,"['Stretcheth', 'far', 'doth', 'mind', 'man']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,61,A sound magician is a mighty god:,,,,"['sound', 'magician', 'mighty', 'god']",0.2732
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,62,"Here, Faustus, tire thy brains to gain a deity.",,,,"['Faustus', 'tire', 'brains', 'gain', 'deity']",0.5267
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,63,"Wagner, commend me to my dearest friends,",,,,"['Wagner', 'commend', 'dearest', 'friends']",0.8625
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,64,The German Valdes and Cornelius;,,,,"['German', 'Valdes', 'Cornelius']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,65,Request them earnestly to visit me.,,,,"['Request', 'earnestly', 'visit']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"I will, sir.",,,,['sir'],0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Their conference will be a greater help to me,,,,"['conference', 'greater', 'help']",0.6369
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Than all my labours, plod I ne?er so fast.",,,,"['labours', 'plod', 'ne', '\x99er', 'fast']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"O, Faustus, lay that damned book aside,",,,,"['Faustus', 'lay', 'damned', 'book', 'aside']",-0.3818
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,2,"And gaze not on it, lest it tempt thy soul,",,,,"['gaze', 'lest', 'tempt', 'soul']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,3,And heap God?s heavy wrath upon thy head!,,,,"['heap', 'God', '\x99s', 'heavy', 'wrath', 'upon', 'head']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,4,"Read, read the Scriptures:?that is blasphemy.",,,,"['Read', 'read', 'Scriptures', '\x94that', 'blasphemy']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,1,"Go forward, Faustus, in that famous art",,,,"['Go', 'forward', 'Faustus', 'famous']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,2,Wherein all Nature?s treasure is contain?d:,,,,"['Wherein', 'Nature', '\x99s', 'treasure', 'contain', '\x99d']",0.3736
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,3,"Be thou on earth as Jove is in the sky,",,,,"['earth', 'Jove', 'sky']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,4,Lord and commander of these elements.,,,,"['Lord', 'commander', 'elements']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,How am I glutted with conceit of this!,,,,"['glutted', 'conceit']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Shall I make spirits fetch me what I please,",,,,"['Shall', 'make', 'spirits', 'fetch', 'please']",0.3182
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"Resolve me of all ambiguities,",,,,"['Resolve', 'ambiguities']",0.3818
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,Perform what desperate enterprise I will?,,,,"['Perform', 'desperate', 'enterprise']",-0.3182
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"I?ll have them fly to India for gold,",,,,"['\x99ll', 'fly', 'India', 'gold']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"Ransack the ocean for orient pearl,",,,,"['Ransack', 'ocean', 'orient', 'pearl']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,And search all corners of the new-found world,,,,"['search', 'corners', 'new-found', 'world']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,For pleasant fruits and princely delicates;,,,,"['pleasant', 'fruits', 'princely', 'delicates']",0.5994
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,"I?ll have them read me strange philosophy,",,,,"['\x99ll', 'read', 'strange', 'philosophy']",-0.2023
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,And tell the secrets of all foreign kings;,,,,"['tell', 'secrets', 'foreign', 'kings']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,"I?ll have them wall all Germany with brass,",,,,"['\x99ll', 'wall', 'Germany', 'brass']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,And make swift Rhine circle fair Wertenberg;,,,,"['make', 'swift', 'Rhine', 'circle', 'fair', 'Wertenberg']",0.4767
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,"I?ll have them fill the public schools with silk,",,,,"['\x99ll', 'fill', 'public', 'schools', 'silk']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,Wherewith the students shall be bravely clad;,,,,"['Wherewith', 'students', 'shall', 'bravely', 'clad']",0.5106
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,15,"I?ll levy soldiers with the coin they bring,",,,,"['\x99ll', 'levy', 'soldiers', 'coin', 'bring']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,16,"And chase the Prince of Parma from our land,",,,,"['chase', 'Prince', 'Parma', 'land']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,17,And reign sole king of all the provinces;,,,,"['reign', 'sole', 'king', 'provinces']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,18,"Yea, stranger engines for the brunt of war,",,,,"['Yea', 'stranger', 'engines', 'brunt', 'war']",-0.5994
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,19,"Than was the fiery keel at Antwerp?s bridge,",,,,"['fiery', 'keel', 'Antwerp', '\x99s', 'bridge']",-0.34
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,20,I?ll make my servile spirits to invent.,,,,"['\x99ll', 'make', 'servile', 'spirits', 'invent']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,21,"Come, German Valdes, and Cornelius,",,,,"['Come', 'German', 'Valdes', 'Cornelius']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,22,And make me blest with your sage conference.,,,,"['make', 'blest', 'sage', 'conference']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,23,"Valdes, sweet Valdes, and Cornelius,",,,,"['Valdes', 'sweet', 'Valdes', 'Cornelius']",0.4588
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,24,Know that your words have won me at the last,,,,"['Know', 'words', 'last']",0.5719
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,25,To practice magic and concealed arts:,,,,"['practice', 'magic', 'concealed', 'arts']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,26,"Yet not your words only, but mine own fantasy,",,,,"['Yet', 'words', 'fantasy']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,27,That will receive no object; for my head,,,,"['receive', 'object', 'head']",-0.296
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,28,But ruminates on necromantic skill.,,,,"['ruminates', 'necromantic', 'skill']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,29,Philosophy is odious and obscure;,,,,"['Philosophy', 'odious', 'obscure']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,30,Both law and physic are for petty wits;,,,,"['law', 'physic', 'petty', 'wits']",-0.2023
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,31,"Divinity is basest of the three,",,,,"['Divinity', 'basest', 'three']",0.5719
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,32,"Unpleasant, harsh, contemptible, and vile:",,,,"['Unpleasant', 'harsh', 'contemptible', 'vile']",-0.9136
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,33,"?Tis magic, magic, that hath ravish?d me.",,,,"['\x99Tis', 'magic', 'magic', 'ravish', '\x99d']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,34,"Then, gentle friends, aid me in this attempt;",,,,"['gentle', 'friends', 'aid', 'attempt']",0.7184
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,35,"And I, that have with concise syllogisms",,,,"['concise', 'syllogisms']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,36,"Gravell?d the pastors of the German church,",,,,"['Gravell', '\x99d', 'pastors', 'German', 'church']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,37,And made the flowering pride of Wertenberg,,,,"['made', 'flowering', 'pride', 'Wertenberg']",0.34
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,38,"Swarm to my problems, as the infernal spirits",,,,"['Swarm', 'problems', 'infernal', 'spirits']",-0.4019
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,39,"On sweet Musaeus when he came to hell,",,,,"['sweet', 'Musaeus', 'came', 'hell']",-0.3818
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,40,"Will be as cunning as Agrippa was,",,,,"['cunning', 'Agrippa']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,41,Whose shadow made all Europe honour him.,,,,"['Whose', 'shadow', 'made', 'Europe', 'honour']",0.5719
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,none,none,1,"Faustus, these books, thy wit, and our experience,",,,,"['Faustus', 'books', 'wit', 'experience']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,none,none,2,Shall make all nations to canonize us.,,,,"['Shall', 'make', 'nations', 'canonize']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,none,none,3,"As Indian Moors obey their Spanish lords,",,,,"['Indian', 'Moors', 'obey', 'Spanish', 'lords']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,none,none,4,So shall the spirits of every element,,,,"['shall', 'spirits', 'every', 'element']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,none,none,5,Be always serviceable to us three;,,,,"['always', 'serviceable', 'three']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,none,none,6,Like lions shall they guard us when we please;,,,,"['Like', 'lions', 'shall', 'guard', 'please']",0.5859
