play_name,character,act,scene,sentence,text,tokens
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,13,"The Terrene  main, wherein Danubius falls,","['Terrene', 'main', 'wherein', 'Danubius', 'falls']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,14,Shall by this battle be the bloody sea:,"['Shall', 'battle', 'bloody', 'sea']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,15,The wandering sailors of proud Italy,"['wandering', 'sailors', 'proud', 'Italy']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,16,"Shall meet those Christians, fleeting with the tide,","['Shall', 'meet', 'Christians', 'fleeting', 'tide']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,17,"Beating in heaps against their argosies,","['Beating', 'heaps', 'argosies']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,18,"And make fair Europe, mounted on her bull,","['make', 'fair', 'Europe', 'mounted', 'bull']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,19,"Trapp'd with the wealth and riches of the world,","['Trapp', 'wealth', 'riches', 'world']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,20,"Alight, and wear a woful mourning weed.","['Alight', 'wear', 'woful', 'mourning', 'weed']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,1,"Yet, stout Orcanes, pro-rex of the world,","['Yet', 'stout', 'Orcanes', 'pro-rex', 'world']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,2,"Since Tamburlaine hath muster'd all his men,","['Since', 'Tamburlaine', 'muster', 'men']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,3,"Marching from Cairo  northward, with his camp,","['Marching', 'Cairo', 'northward', 'camp']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,4,"To Alexandria and the frontier towns,","['Alexandria', 'frontier', 'towns']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,5,"Meaning to make a conquest of our land,","['Meaning', 'make', 'conquest', 'land']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,6,'Tis requisite to parle for a peace,"[""'T"", 'requisite', 'parle', 'peace']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,7,"With Sigismund, the king of Hungary,","['Sigismund', 'king', 'Hungary']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,8,And save our forces for the hot assaults,"['save', 'forces', 'hot', 'assaults']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,9,Proud Tamburlaine intends Natolia.,"['Proud', 'Tamburlaine', 'intends', 'Natolia']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"Viceroy of Byron, wisely hast thou said.","['Viceroy', 'Byron', 'wisely', 'said']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"My realm, the centre of our empery,","['realm', 'centre', 'empery']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"Once lost, all Turkey would be overthrown;","['lost', 'Turkey', 'would', 'overthrown']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,And for that cause the Christians shall have peace.,"['cause', 'Christians', 'shall', 'peace']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,"Sclavonians, Almains, Rutters, Muffs, and Danes,","['Sclavonians', 'Almains', 'Rutters', 'Muffs', 'Danes']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,"Fear  not Orcanes, but great Tamburlaine;","['Fear', 'Orcanes', 'great', 'Tamburlaine']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,"Nor he, but Fortune that hath made him great.","['Fortune', 'made', 'great']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,"We have revolted Grecians, Albanese,","['revolted', 'Grecians', 'Albanese']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,"Sicilians, Jews, Arabians, Turks, and Moors,","['Sicilians', 'Jews', 'Arabians', 'Turks', 'Moors']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,"Natolians, Sorians,  black  Egyptians,","['Natolians', 'Sorians', 'black', 'Egyptians']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,11,"Illyrians, Thracians, and Bithynians,","['Illyrians', 'Thracians', 'Bithynians']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,12,"Enough to swallow forceless Sigismund,","['Enough', 'swallow', 'forceless', 'Sigismund']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,13,Yet scarce enough t' encounter Tamburlaine.,"['Yet', 'scarce', 'enough', 'encounter', 'Tamburlaine']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,14,"He brings a world of people to the field,","['brings', 'world', 'people', 'field']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,15,]From Scythia to the oriental plage,"['Scythia', 'oriental', 'plage']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,16,"Of India, where raging Lantchidol","['India', 'raging', 'Lantchidol']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,17,"Beats on the regions with his boisterous blows,","['Beats', 'regions', 'boisterous', 'blows']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,18,That never seaman yet discovered.,"['never', 'seaman', 'yet', 'discovered']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,19,"All Asia is in arms with Tamburlaine,","['Asia', 'arms', 'Tamburlaine']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,20,Even from the midst of fiery Cancer's tropic,"['Even', 'midst', 'fiery', 'Cancer', 'tropic']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,21,To Amazonia under Capricorn;,"['Amazonia', 'Capricorn']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,22,"And thence, as far as Archipelago,","['thence', 'far', 'Archipelago']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,23,All Afric is in arms with Tamburlaine:,"['Afric', 'arms', 'Tamburlaine']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,24,"Therefore, viceroy,  the Christians must have peace.","['Therefore', 'viceroy', 'Christians', 'must', 'peace']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,1,"Orcanes, (as our legates promis'd thee,)","['Orcanes', 'legates', 'promis']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,2,"We, with our peers, have cross'd Danubius' stream,","['peers', 'cross', 'Danubius', 'stream']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,3,To treat of friendly peace or deadly war.,"['treat', 'friendly', 'peace', 'deadly', 'war']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,4,"Take which thou wilt; for, as the Romans us'd,","['Take', 'wilt', 'Romans']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,5,I here present thee with a naked sword:,"['present', 'naked', 'sword']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,6,"Wilt thou have war, then shake this blade at me;","['Wilt', 'war', 'shake', 'blade']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,7,"If peace, restore it to my hands again,","['peace', 'restore', 'hands']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,8,"And I will sheathe it, to confirm the same.","['sheathe', 'confirm']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"Stay, Sigismund:  forgett'st thou I am he","['Stay', 'Sigismund', ""forgett'st""]"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"That with the cannon shook Vienna-walls,","['cannon', 'shook', 'Vienna-walls']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"And made it dance upon the continent,","['made', 'dance', 'upon', 'continent']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,As when the massy substance of the earth,"['massy', 'substance', 'earth']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,Quiver about the axle-tree of heaven?,"['Quiver', 'axle-tree', 'heaven']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,"Forgett'st thou that I sent a shower of darts,","[""Forgett'st"", 'sent', 'shower', 'darts']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,"Mingled with powder'd shot and feather'd steel,","['Mingled', 'powder', 'shot', 'feather', 'steel']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,"So thick upon the blink-ey'd burghers' heads,","['thick', 'upon', 'blink-ey', 'burghers', 'heads']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,"That thou thyself, then County Palatine,","['thyself', 'County', 'Palatine']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,"The King of Boheme,  and the Austric Duke,","['King', 'Boheme', 'Austric', 'Duke']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,11,"Sent heralds out, which basely on their knees,","['Sent', 'heralds', 'basely', 'knees']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,12,"In all your names, desir'd a truce of me?","['names', 'desir', 'truce']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,13,"Forgett'st thou that, to have me raise my siege,","[""Forgett'st"", 'raise', 'siege']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,14,"Waggons of gold were set before my tent,","['Waggons', 'gold', 'set', 'tent']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,15,Stampt with the princely fowl that in her wings,"['Stampt', 'princely', 'fowl', 'wings']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,16,Carries the fearful thunderbolts of Jove?,"['Carries', 'fearful', 'thunderbolts', 'Jove']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,17,"How canst thou think of this, and offer war?","['canst', 'think', 'offer', 'war']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,1,"Vienna was besieg'd, and I was there,","['Vienna', 'besieg']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,2,"Then County Palatine, but now a king,","['County', 'Palatine', 'king']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,3,And what we did was in extremity,['extremity']
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,4,"But now, Orcanes, view my royal host,","['Orcanes', 'view', 'royal', 'host']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,5,"That hides these plains, and seems as vast and wide","['hides', 'plains', 'seems', 'vast', 'wide']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,6,As doth the desert of Arabia,"['doth', 'desert', 'Arabia']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,7,"To those that stand on Bagdet's  lofty tower,","['stand', 'Bagdet', 'lofty', 'tower']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,8,Or as the ocean to the traveller,"['ocean', 'traveller']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,9,That rests upon the snowy Appenines;,"['rests', 'upon', 'snowy', 'Appenines']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,10,"And tell me whether I should stoop so low,","['tell', 'whether', 'stoop', 'low']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,11,Or treat of peace with the Natolian king.,"['treat', 'peace', 'Natolian', 'king']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,1,"Kings of Natolia and of Hungary,","['Kings', 'Natolia', 'Hungary']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,2,"We came from Turkey to confirm a league,","['came', 'Turkey', 'confirm', 'league']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,3,And not to dare each other to the field.,"['dare', 'field']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,4,A friendly parle  might become you both.,"['friendly', 'parle', 'might', 'become']"
Tamburlaine the Great-Part2,FREDERICK,SCENE I.,none,1,"And we from Europe, to the same intent;","['Europe', 'intent']"
Tamburlaine the Great-Part2,FREDERICK,SCENE I.,none,2,"Which if your general refuse or scorn,","['general', 'refuse', 'scorn']"
Tamburlaine the Great-Part2,FREDERICK,SCENE I.,none,3,"Our tents are pitch'd, our men stand  in array,","['tents', 'pitch', 'men', 'stand', 'array']"
Tamburlaine the Great-Part2,FREDERICK,SCENE I.,none,4,Ready to charge you ere you stir your feet.,"['Ready', 'charge', 'stir', 'feet']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"So prest  are we:  but yet, if Sigismund","['prest', 'yet', 'Sigismund']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"Speak as a friend, and stand not upon terms,","['Speak', 'friend', 'stand', 'upon', 'terms']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,Here is his sword; let peace be ratified,"['sword', 'let', 'peace', 'ratified']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,"On these conditions specified before,","['conditions', 'specified']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,Drawn with advice of our ambassadors.,"['Drawn', 'advice', 'ambassadors']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,1,"Then here I sheathe it, and give thee my hand,","['sheathe', 'give', 'hand']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,2,"Never to draw it out, or  manage arms","['Never', 'draw', 'manage', 'arms']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,3,"Against thyself or thy confederates,","['thyself', 'confederates']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,4,"But, whilst I live, will be at truce with thee.","['whilst', 'live', 'truce']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"But, Sigismund, confirm it with an oath,","['Sigismund', 'confirm', 'oath']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,And swear in sight of heaven and by thy Christ.,"['swear', 'sight', 'heaven', 'Christ']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,1,"By Him that made the world and sav'd my soul,","['made', 'world', 'sav', 'soul']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,2,"The Son of God and issue of a maid,","['Son', 'God', 'issue', 'maid']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,3,"Sweet Jesus Christ, I solemnly protest","['Sweet', 'Jesus', 'Christ', 'solemnly', 'protest']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,4,And vow to keep this peace inviolable!,"['vow', 'keep', 'peace', 'inviolable']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"By sacred Mahomet, the friend of God,","['sacred', 'Mahomet', 'friend', 'God']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"Whose holy Alcoran remains with us,","['Whose', 'holy', 'Alcoran', 'remains']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"Whose glorious body, when he left the world,","['Whose', 'glorious', 'body', 'left', 'world']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,"Clos'd in a coffin mounted up the air,","['Clos', 'coffin', 'mounted', 'air']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,"And hung on stately Mecca's temple-roof,","['hung', 'stately', 'Mecca', 'temple-roof']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,I swear to keep this truce inviolable!,"['swear', 'keep', 'truce', 'inviolable']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,"Of whose conditions  and our solemn oaths,","['whose', 'conditions', 'solemn', 'oaths']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,"Sign'd with our hands, each shall retain a scroll,","['Sign', 'hands', 'shall', 'retain', 'scroll']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,As memorable witness of our league.,"['memorable', 'witness', 'league']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,"Now, Sigismund, if any Christian king","['Sigismund', 'Christian', 'king']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,11,"Encroach upon the confines of thy realm,","['Encroach', 'upon', 'confines', 'realm']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,12,"Send word, Orcanes of Natolia","['Send', 'word', 'Orcanes', 'Natolia']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,13,"Confirm'd  this league beyond Danubius' stream,","['Confirm', 'league', 'beyond', 'Danubius', 'stream']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,14,"And they will, trembling, sound a quick retreat;","['trembling', 'sound', 'quick', 'retreat']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,15,So am I fear'd among all nations.,"['fear', 'among', 'nations']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,1,If any heathen potentate or king,"['heathen', 'potentate', 'king']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,2,"Invade Natolia, Sigismund will send","['Invade', 'Natolia', 'Sigismund', 'send']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,3,"A hundred thousand horse train'd to the war,","['hundred', 'thousand', 'horse', 'train', 'war']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,4,"And back'd by  stout lanciers of Germany,","['back', 'stout', 'lanciers', 'Germany']"
Tamburlaine the Great-Part2,SIGISMUND,SCENE I.,none,5,The strength and sinews of the imperial seat.,"['strength', 'sinews', 'imperial', 'seat']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"I thank thee, Sigismund; but, when I war,","['thank', 'Sigismund', 'war']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"All Asia Minor, Africa, and Greece,","['Asia', 'Minor', 'Africa', 'Greece']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,Follow my standard and my thundering drums.,"['Follow', 'standard', 'thundering', 'drums']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,"Come, let us go and banquet in our tents:","['Come', 'let', 'go', 'banquet', 'tents']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,I will despatch chief of my army hence,"['despatch', 'chief', 'army']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,"To fair Natolia and to Trebizon,","['fair', 'Natolia', 'Trebizon']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,To stay my coming 'gainst proud Tamburlaine:,"['stay', 'coming', ""'gainst"", 'proud', 'Tamburlaine']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,"Friend Sigismund, and peers of Hungary,","['Friend', 'Sigismund', 'peers', 'Hungary']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,"Come, banquet and carouse with us a while,","['Come', 'banquet', 'carouse']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,And then depart we to our territories.,"['depart', 'territories']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,11,"I thank thee, Sigismund; but, when I war,","['thank', 'Sigismund', 'war']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,12,"All Asia Minor, Africa, and Greece,","['Asia', 'Minor', 'Africa', 'Greece']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,13,Follow my standard and my thundering drums.,"['Follow', 'standard', 'thundering', 'drums']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,14,"Come, let us go and banquet in our tents:","['Come', 'let', 'go', 'banquet', 'tents']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,15,I will despatch chief of my army hence,"['despatch', 'chief', 'army']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,16,"To fair Natolia and to Trebizon,","['fair', 'Natolia', 'Trebizon']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,17,To stay my coming 'gainst proud Tamburlaine:,"['stay', 'coming', ""'gainst"", 'proud', 'Tamburlaine']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,18,"Friend Sigismund, and peers of Hungary,","['Friend', 'Sigismund', 'peers', 'Hungary']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,19,"Come, banquet and carouse with us a while,","['Come', 'banquet', 'carouse']"
Tamburlaine the Great-Part2,ORCANES,SCENE II.,none,20,And then depart we to our territories.,"['depart', 'territories']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,1,"Sweet Almeda, pity the ruthful plight","['Sweet', 'Almeda', 'pity', 'ruthful', 'plight']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,2,"Of Callapine, the son of Bajazeth,","['Callapine', 'son', 'Bajazeth']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,3,"Born to be monarch of the western world,","['Born', 'monarch', 'western', 'world']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,4,Yet here detain'd by cruel Tamburlaine.,"['Yet', 'detain', 'cruel', 'Tamburlaine']"
Tamburlaine the Great-Part2,ALMEDA,SCENE II.,none,1,"My lord, I pity it, and with my heart","['lord', 'pity', 'heart']"
Tamburlaine the Great-Part2,ALMEDA,SCENE II.,none,2,"Wish your release; but he whose wrath is death,","['Wish', 'release', 'whose', 'wrath', 'death']"
Tamburlaine the Great-Part2,ALMEDA,SCENE II.,none,3,"My sovereign lord, renowmed  Tamburlaine,","['sovereign', 'lord', 'renowmed', 'Tamburlaine']"
Tamburlaine the Great-Part2,ALMEDA,SCENE II.,none,4,Forbids you further liberty than this.,"['Forbids', 'liberty']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,1,"Ah, were I now but half so eloquent","['Ah', 'half', 'eloquent']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,2,"To paint in words what I'll perform in deeds,","['paint', 'words', 'perform', 'deeds']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,3,I know thou wouldst depart from hence with me!,"['know', 'depart']"
Tamburlaine the Great-Part2,ALMEDA,SCENE II.,none,1,Not for all Afric:  therefore move me not.,"['Afric', 'therefore', 'move']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,1,"Yet hear me speak, my gentle Almeda.","['Yet', 'hear', 'speak', 'gentle', 'Almeda']"
Tamburlaine the Great-Part2,ALMEDA,SCENE II.,none,1,"No speech to that end, by your favour, sir.","['speech', 'end', 'favour', 'sir']"
Tamburlaine the Great-Part2,CALLAPINE,SCENE II.,none,1,By Cairo  runs,"['Cairo', 'runs']"
